"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups"
"116","in2020_v08",21,30,"Acanthephyra spp.",28735901,0.5,1,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"117","in2020_v08",29,39,"Acanthephyra spp.",28735901,0.5,1,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"118","in2020_v08",1,17,"Notostomus auriculatus",28735028,0.5,1,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"119","in2020_v08",12,9,"Notostomus auriculatus",28735028,9,2,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"120","in2020_v08",22,6,"Notostomus auriculatus",28735028,5,2,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"121","in2020_v08",28,7,"Notostomus auriculatus",28735028,20,1,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"122","in2020_v08",1,16,"Acanthephyra quadrispinosa",28735007,6,9,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"123","in2020_v08",6,9,"Acanthephyra quadrispinosa",28735007,0.5,1,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"124","in2020_v08",7,22,"Acanthephyra quadrispinosa",28735007,28,7,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"125","in2020_v08",12,16,"Acanthephyra quadrispinosa",28735007,3,1,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"126","in2020_v08",13,7,"Acanthephyra quadrispinosa",28735007,9,2,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"127","in2020_v08",14,6,"Acanthephyra quadrispinosa",28735007,30,9,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"128","in2020_v08",22,3,"Acanthephyra quadrispinosa",28735007,45,24,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"129","in2020_v08",28,6,"Acanthephyra quadrispinosa",28735007,28,5,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"130","in2020_v08",29,36,"Acanthephyra quadrispinosa",28735007,20,5,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"131","in2020_v08",30,35,"Acanthephyra quadrispinosa",28735007,55,11,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"132","in2020_v08",35,18,"Acanthephyra quadrispinosa",28735007,7,2,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"133","in2020_v08",36,35,"Acanthephyra quadrispinosa",28735007,29,6,NA,NA,"-20 degC",NA,NA,"Prawn","Crustacean"
"134","in2020_v08",41,42,"Acanthephyra quadrispinosa",28735007,28,3,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"135","in2020_v08",46,9,"Acanthephyra quadrispinosa",28735007,14,2,"individually","weighed","-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"136","in2020_v08",47,33,"Acanthephyra quadrispinosa",28735007,6,1,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"137","in2020_v08",52,2,"Acanthephyra quadrispinosa",28735007,10,1,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"138","in2020_v08",53,4,"Acanthephyra quadrispinosa",28735007,3,1,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"139","in2020_v08",7,23,"Oplophorus novaezeelandiae",28734003,3,1,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"140","in2020_v08",1,19,"Sergestes spp.",28720906,6,12,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"141","in2020_v08",7,12,"Sergestes spp.",28720906,7,19,"pink",NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"142","in2020_v08",7,35,"Sergestes spp.",28720906,0.5,18,"red",NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"143","in2020_v08",11,18,"Sergestes spp.",28720906,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"144","in2020_v08",12,13,"Sergestes spp.",28720906,1,2,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
"145","in2020_v08",13,6,"Sergestes spp.",28720906,0.5,6,NA,NA,"-20 degC",NA,"Plastic Bag","Prawn","Crustacean"
